Title,Length,Number of Ratings
Vow of Revenge,9 hrs and 48 mins,21
The Trail of Gold and Silver,11 hrs and 26 mins,21
Safe and Sound,8 hrs and 25 mins,21
No Better Time,5 hrs and 57 mins,20
Evenings and Weekends,9 hrs and 17 mins,20
Just the Good Stuff,5 hrs and 7 mins,20
Made Whole,6 hrs and 25 mins,20
The Third Wife of Faraday House,12 hrs and 24 mins,20
The Colony Club,11 hrs and 38 mins,20
Days of Wonder,10 hrs and 19 mins,19
Say It Well,9 hrs and 15 mins,19
Building Material,8 hrs and 56 mins,19
The New One,11 hrs and 2 mins,19
Driving the Green Book,9 hrs and 41 mins,19
No One Will Know,10 hrs and 39 mins,18
Island of Stars,12 hrs and 8 mins,18
Oye,8 hrs and 57 mins,18
Zeus: Water Rescue,5 hrs and 54 mins,18
Slow Birding,9 hrs and 54 mins,17
Medusa,11 hrs and 17 mins,16
Sign of the Slayer,15 hrs and 8 mins,16
Why I Cook,7 hrs and 36 mins,15
The Woodsmoke Women's Book of Spells,10 hrs and 2 mins,15
Malibu Summer,7 hrs and 57 mins,14
Toward Eternity,7 hrs and 5 mins,14
Good Grief,5 hrs and 47 mins,14
Welcome to Camp Nightmare,2 hrs and 47 mins,14
For Such a Time as This,6 hrs and 50 mins,14
Gentle Writing Advice,6 hrs and 51 mins,14
Continental Reckoning,23 hrs and 37 mins,13
Our Narrow Hiding Places,8 hrs and 19 mins,13
A Few Days Full of Trouble,14 hrs and 26 mins,13
Dynamic Drive,9 hrs and 5 mins,13
The Hunter,9 hrs and 47 mins,13
The Brightest Star,9 hrs and 30 mins,13
Scandalous Women,10 hrs and 46 mins,12
The Paris Gown,8 hrs and 56 mins,12
It All Makes Sense Now,6 hrs and 2 mins,12
Strive,7 hrs and 18 mins,12
Happy Jack and the Scary-Ass Book of Doom,12 hrs and 50 mins,11
The Mystery of Locked Rooms,5 hrs and 50 mins,11
The Book of Virtues: 30th Anniversary Edition,22 hrs and 8 mins,11
"Hello, Higher Self",10 hrs and 7 mins,11
The Silver Snarling Trumpet,6 hrs and 18 mins,11
Berlin,9 hrs and 2 mins,11
Ghost Beach,2 hrs and 23 mins,11
Picture Perfect Autumn,11 hrs and 41 mins,10
What Do You Need?,7 hrs and 26 mins,10
Wreck My Plans,7 hrs and 37 mins,10
The Witch in the Woods,9 hrs and 6 mins,10
From Imagination to Reality,9 hrs and 25 mins,9
K-9 Defender,6 hrs and 47 mins,9
The Chess Revolution,12 hrs and 24 mins,9
Stress Resets,6 hrs and 3 mins,8
The Bang-Bang Sisters,15 hrs and 23 mins,8
Return,9 hrs and 9 mins,8
All the Knowledge in the World,11 hrs and 54 mins,8
Adam & Evie's Matchmaking Tour,10 hrs and 39 mins,8
Rip Tide,11 hrs and 10 mins,8
The Ocean Above Me,9 hrs and 52 mins,8
Rick Riordan Presents: The Dark Becomes Her,10 hrs and 53 mins,7
The Burning Earth,11 hrs and 36 mins,7
Candace Pert,8 hrs and 42 mins,7
My Hijacking,12 hrs and 54 mins,7
The Game Changers,7 hrs and 1 min,7
The Metaverse,17 hrs and 40 mins,7
Fairy Godmother,9 hrs and 11 mins,7
F1 Racing Confidential,8 hrs and 34 mins,7
A Vow of Dragons and Storms,8 hrs and 50 mins,6
In a League of Her Own,9 hrs and 53 mins,6
Alexandria,20 hrs and 14 mins,6
Nervous,9 hrs and 56 mins,6
Seven Exes,9 hrs and 47 mins,6
Infinite Receiving,8 hrs and 3 mins,5
Into Unknown Skies,11 hrs,5
Bartleby and Me,8 hrs and 45 mins,5
I Dread the Thought of the Place,47 hrs and 31 mins,5
The Art of the Interesting,8 hrs and 34 mins,5
The Duke's Sister and I,8 hrs and 51 mins,5
The Twice-Sold Soul,12 hrs and 58 mins,4
The Grand Teton Stampede,2 hrs and 47 mins,4
The Battle for Christmas,13 hrs and 17 mins,4
The Nymphos of Rocky Flats,7 hrs and 44 mins,4
Winnie the Pooh: The Collected Stories,5 hrs and 46 mins,4
Stuff Matters,6 hrs and 22 mins,4
The Enchanted Lies of Céleste Artois,19 hrs and 12 mins,4
The Spare,9 hrs and 51 mins,3
Mind Your Gut,9 hrs and 9 mins,3
The Comfy Cozy Witch’s Guide to Making Magic in Your Everyday Life,4 hrs and 34 mins,2
The Last Raven,11 hrs and 53 mins,2
Yoga Nidra Made Easy,22 hrs and 25 mins,2
Ablaze: Her Move,9 hrs and 1 min,2
Hoof Beats,5 hrs and 58 mins,2
Illicit Temptations,10 hrs and 33 mins,2
The Spice Gate,17 hrs and 39 mins,1
The Embarrassment of Riches,20 hrs and 46 mins,1
Midnights with You,9 hrs and 28 mins,1
The Forbidden Book,6 hrs and 25 mins,1
X-Rated Bloodsuckers,9 hrs and 32 mins,1
The Real Case for Driverless Mobility,10 hrs and 58 mins,1
Ali,22 hrs and 51 mins,0
